epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.072,1.34399,2.05198,1.46668,0.60361,0.4117,0.4599,0.20222,1.90326,1.97801,1.85866,0.000237635,0.000237635,0.000237635
2,321.898,1.26839,1.61138,1.40088,0.61571,0.52474,0.51892,0.21634,2.02163,1.80608,1.94542,0.000466217,0.000466217,0.000466217
3,480.915,1.24707,1.5423,1.39495,0.7198,0.49101,0.55653,0.24806,1.85056,1.70167,1.7915,0.000685375,0.000685375,0.000685375
4,638.719,1.22954,1.47309,1.38152,0.75112,0.54711,0.62596,0.30104,1.76949,1.52426,1.75694,0.000671588,0.000671588,0.000671588
5,798.099,1.20298,1.39723,1.36199,0.73796,0.53024,0.59981,0.27255,1.87996,1.51251,1.8236,0.000657451,0.000657451,0.000657451
6,952.997,1.17066,1.34538,1.34461,0.72627,0.57434,0.63451,0.31934,1.70722,1.3733,1.70059,0.000643314,0.000643314,0.000643314
7,1107.56,1.1569,1.273,1.32769,0.75179,0.61619,0.65861,0.3122,1.77404,1.32411,1.73161,0.000629177,0.000629177,0.000629177
8,1268.93,1.12594,1.23833,1.30777,0.70711,0.59684,0.6533,0.29445,1.84172,1.30244,1.7971,0.00061504,0.00061504,0.00061504
9,1435.3,1.11937,1.18555,1.29635,0.79935,0.60707,0.67979,0.31078,1.85718,1.30917,1.7865,0.000600902,0.000600902,0.000600902
10,1598.59,1.10092,1.15442,1.28059,0.77721,0.59775,0.65965,0.3144,1.71868,1.27108,1.71209,0.000586765,0.000586765,0.000586765
11,1763.87,1.08172,1.12981,1.27261,0.75575,0.60761,0.6777,0.33848,1.72143,1.1971,1.69165,0.000572628,0.000572628,0.000572628
12,1927.88,1.07276,1.08598,1.26386,0.86243,0.61873,0.70723,0.36829,1.65273,1.15135,1.64121,0.000558491,0.000558491,0.000558491
13,2092.81,1.05397,1.06251,1.25712,0.78732,0.63603,0.70098,0.35873,1.68001,1.13714,1.66119,0.000544354,0.000544354,0.000544354
14,2258.2,1.04481,1.02523,1.23991,0.83978,0.61875,0.71071,0.36477,1.63791,1.15072,1.62988,0.000530216,0.000530216,0.000530216
15,2413.24,1.0222,1.00865,1.2309,0.8111,0.64955,0.71861,0.37245,1.61056,1.05763,1.6281,0.000516079,0.000516079,0.000516079
16,2567.65,1.01707,0.97357,1.21727,0.80013,0.6707,0.72596,0.39816,1.58009,1.08174,1.57314,0.000501942,0.000501942,0.000501942
17,2722.57,1.01117,0.9582,1.21642,0.83647,0.67369,0.74265,0.40323,1.53856,1.01971,1.54384,0.000487805,0.000487805,0.000487805
18,2877.51,1.00211,0.95671,1.21482,0.89338,0.67659,0.74724,0.4087,1.56024,0.98983,1.58247,0.000473668,0.000473668,0.000473668
19,3032.48,0.9837,0.92661,1.2056,0.80989,0.70524,0.74165,0.39323,1.58342,1.0117,1.59999,0.00045953,0.00045953,0.00045953
20,3188.38,0.97295,0.9092,1.19592,0.82192,0.69244,0.75424,0.4223,1.5052,0.9929,1.53038,0.000445393,0.000445393,0.000445393
21,3343.93,0.96437,0.88835,1.18857,0.82165,0.69553,0.75634,0.40085,1.60961,0.98857,1.6258,0.000431256,0.000431256,0.000431256
22,3500.37,0.96135,0.87288,1.18201,0.8874,0.65962,0.74915,0.40485,1.56533,0.97249,1.56762,0.000417119,0.000417119,0.000417119
23,3656.17,0.94922,0.85214,1.17714,0.85081,0.68707,0.75647,0.42319,1.48821,0.94438,1.55575,0.000402982,0.000402982,0.000402982
24,3811.71,0.9328,0.84074,1.16472,0.88142,0.70014,0.77337,0.44605,1.45334,0.91199,1.49696,0.000388844,0.000388844,0.000388844
25,3968.07,0.92283,0.82583,1.16074,0.85193,0.71485,0.77574,0.42829,1.49524,0.93047,1.52438,0.000374707,0.000374707,0.000374707
26,4123.9,0.9259,0.81828,1.15969,0.83995,0.70602,0.77256,0.44261,1.39504,0.89719,1.46065,0.00036057,0.00036057,0.00036057
27,4279.48,0.91056,0.79736,1.15043,0.88743,0.69938,0.78978,0.47422,1.36312,0.83641,1.42545,0.000346433,0.000346433,0.000346433
28,4437.19,0.90364,0.79227,1.14695,0.845,0.72234,0.78643,0.46024,1.37661,0.83084,1.44061,0.000332296,0.000332296,0.000332296
29,4593.58,0.89598,0.77919,1.13669,0.85229,0.73112,0.79985,0.46508,1.37108,0.8252,1.42229,0.000318158,0.000318158,0.000318158
30,4750.42,0.88899,0.76688,1.13629,0.89124,0.70876,0.79955,0.47278,1.35496,0.81858,1.42164,0.000304021,0.000304021,0.000304021
31,4908.29,0.88569,0.7533,1.12853,0.8963,0.71187,0.79721,0.4633,1.37108,0.83631,1.43173,0.000289884,0.000289884,0.000289884
32,5066.67,0.87749,0.75131,1.12825,0.90955,0.7077,0.79635,0.45566,1.44824,0.82543,1.52171,0.000275747,0.000275747,0.000275747
33,5224.12,0.85152,0.71602,1.10818,0.86304,0.72076,0.79472,0.46382,1.39995,0.8204,1.45689,0.00026161,0.00026161,0.00026161
34,5381.21,0.84841,0.71382,1.1096,0.85324,0.75057,0.81089,0.48275,1.35463,0.78638,1.43733,0.000247472,0.000247472,0.000247472
35,5538.94,0.85276,0.70093,1.10826,0.90404,0.71315,0.80055,0.48484,1.34577,0.78839,1.42015,0.000233335,0.000233335,0.000233335
36,5700.3,0.83762,0.70093,1.10371,0.90631,0.72264,0.80716,0.4825,1.35044,0.78203,1.43395,0.000219198,0.000219198,0.000219198
37,5862.34,0.83307,0.69266,1.10072,0.88374,0.7395,0.80862,0.49942,1.28276,0.7754,1.38655,0.000205061,0.000205061,0.000205061
38,6018.96,0.81924,0.67956,1.09229,0.89436,0.73507,0.81341,0.5052,1.2765,0.76738,1.35258,0.000190924,0.000190924,0.000190924
39,6178.21,0.8102,0.66966,1.08918,0.8923,0.75692,0.82413,0.48774,1.34198,0.75502,1.43347,0.000176786,0.000176786,0.000176786
40,6332.65,0.80755,0.66696,1.08812,0.89349,0.74478,0.81141,0.50409,1.27857,0.7462,1.36248,0.000162649,0.000162649,0.000162649
41,6475.91,0.81209,0.58141,1.07625,0.88592,0.75147,0.81327,0.50346,1.27435,0.7492,1.37379,0.000148512,0.000148512,0.000148512
42,6619.42,0.79216,0.56035,1.06412,0.89336,0.7483,0.81435,0.50209,1.27041,0.7353,1.40481,0.000134375,0.000134375,0.000134375
43,6762.09,0.78495,0.54746,1.06182,0.90499,0.75516,0.83053,0.51901,1.24506,0.7095,1.3526,0.000120238,0.000120238,0.000120238
44,6905.57,0.77363,0.53494,1.05276,0.88277,0.75777,0.82888,0.51504,1.26306,0.69973,1.37982,0.0001061,0.0001061,0.0001061
45,7048.86,0.75868,0.52232,1.047,0.88872,0.74559,0.82391,0.52191,1.22314,0.70985,1.34453,9.19632e-05,9.19632e-05,9.19632e-05
46,7192.19,0.75223,0.52129,1.04523,0.88652,0.76894,0.81865,0.51803,1.24458,0.69969,1.36669,7.7826e-05,7.7826e-05,7.7826e-05
